"outcome","subgroup_var","group","k","pool_pct","ci_lo","ci_hi","I2"
"Uveitis (any)","species_grp","EBOV",12,13.4,6.4,22.3,97.6
"Uveitis (any)","timing_grp","Early (<6m)",4,14.1,3.4,30.3,97.5
"Uveitis (any)","timing_grp","Long-term (>2y)",3,10.4,6.4,15.4,54
"Uveitis (any)","timing_grp","Survivor (6m-2y)",7,10.6,3.3,20.9,98.2
"Uveitis (any)","examiner_bin","Ophthalmologist",11,15.7,9.3,23.4,95.5
"Uveitis (any)","examiner_bin","Other/unclear",4,6.1,0,19.2,98.9
"Uveitis (any)","era_grp","2014-2016",3,14.8,0.6,42,99
"Uveitis (any)","era_grp","Post-2016",11,13,8,18.9,95.9
"Cataract (any)","species_grp","EBOV",10,13.3,6.7,21.6,96.7
"Cataract (any)","timing_grp","Long-term (>2y)",2,7.1,0.7,18.5,81.1
"Cataract (any)","timing_grp","Survivor (6m-2y)",8,12,4.7,22,96.6
"Cataract (any)","examiner_bin","Ophthalmologist",9,13.2,7.7,19.7,92.5
"Cataract (any)","examiner_bin","Other/unclear",3,8.3,0.9,21.5,96.6
"Cataract (any)","era_grp","2014-2016",4,8.2,1.7,18.4,95.1
"Cataract (any)","era_grp","Post-2016",8,13.9,7.9,21.1,93.3
"Visual impairment","species_grp","EBOV",7,6.4,2.2,12.1,94.7
"Visual impairment","timing_grp","Survivor (6m-2y)",6,9.8,1.1,24.6,98.2
"Visual impairment","examiner_bin","Ophthalmologist",4,6.2,0.9,15.5,96.7
"Visual impairment","examiner_bin","Other/unclear",4,14.6,1.1,37.8,98.1
"Visual impairment","era_grp","2014-2016",3,17.7,1.4,45.8,98.7
"Visual impairment","era_grp","Post-2016",4,6.2,0.9,15.5,96.7
"Blindness","species_grp","EBOV",5,7.5,0.2,22.7,98.7
"Blindness","timing_grp","Survivor (6m-2y)",5,5.1,0.2,15.2,98
"Blindness","examiner_bin","Ophthalmologist",4,14.4,1.2,37.3,98.4
"Blindness","examiner_bin","Other/unclear",3,1.7,0,9.4,95.9
"Blindness","era_grp","2014-2016",3,1.7,0,9.4,95.9
"Blindness","era_grp","Post-2016",4,14.4,1.2,37.3,98.4
